mileage,price,Bike name,Types and Used  Time,description
1 miles,"$5,499 ",YZF-R3 ABS,New 2023 Yamaha Standard,"2023 YAMAHA YZF-R3 ABS,"
,"$8,599 ",YZ250F,New 2023 Yamaha Mx,
,"$8,199 ",MT-07,New 2023 Yamaha Sportbike,
,"$4,799 ",YZ65,New 2023 Yamaha Standard,"2023 Yamaha YZ65,"
,"$5,499 ",YZF-R3,New 2023 Yamaha Standard,"2023 Yamaha YZF-R3,"
,"$9,199 ",YZF-R7,New 2023 Yamaha Dirt Bike,"2023 Yamaha YZF-R7, 2023 Yamaha YZF-R7"
,"$9,499 ",YZF-R7,New 2023 Yamaha Sportbike,"2023 Yamaha YZF-R7,   2023 Yamaha YZF-R7"
,"$11,499 ",MT -09 SP,New 2023 Yamaha Sportbike,
,"$10,199 ",XSR 900,New 2023 Yamaha Cruiser,
,"$26,999 ",YZF-R1M,New 2023 Yamaha Sportbike,
,"$8,199 ",MT-07,New 2023 Yamaha Sportbike,
,"$8,099 ",YZ 250 MONSTER ENERGY YAMAHA RACING EDITION,New 2023 Yamaha Mx,
,"$16,299 ",Super Ténéré ES,New 2023 Yamaha Sportbike,
,"$9,799 ",MT-09,New 2023 Yamaha Sportbike,
1 miles,"$3,699 ",Zuma 125,New 2022 Yamaha Scooter,"2022 Yamaha Zuma 125,"
101 miles,"$9,800 ",Yzf R7,  2022 Yamaha Sportbike,"101 miles, still original tank of gas. Added R7 skid bars, black screen & fender eliminator kit. Recent surgery on elbow, healed but still uncomfortable riding. Basically brand new with extras.With dealer prep/freight charge (which you will have to pay too) along with matching helmet,  fender eliminator & taxes I paid $10,942 on Jan 26th, 2023 from the dealer. Medium size helmet included."
,"$13,499 ",Tracer 9 GT,New 2022 Yamaha Touring,"2022 Yamaha Tracer 9 GT, 2022 Yamaha Tracer 9 GT"
,"$9,500 ",YZ 250FX,  2022 Yamaha Dirt Bike,2022 yz250fx  Ridden up north 1 time Around 3 hours Pro-Circuit spark arrestor
774 miles,"$4,598 ",YZF-R3 Monster Energy Yamaha MotoGP Edition,  2021 Yamaha Sportbike,"2021 YAMAHA YZF-R3 Monster Energy Yamaha MotoGP Edition,    Top Features  Engine Features"
,"$5,999 ",YZ250FX,  2019 Yamaha Dirt Bike,"2019 Yamaha YZ250FX, Just in on trade....  2019 Yamaha YZ250FX"
"3,777 miles","$12,999 ",MT 10,  2018 Yamaha Sport Touring,"2018 Yamaha MT10 with 3777 miles. Runs great. Has the tall windscreen, comfort seat, license plate flush kit, full givi sports touring bags (sides and top case), abs, and heated grips. Cost me $18k + tax to buy the bike and put all the extras on it. Asking $12999 or best reasonable offer. Won't find another bike like it."
,"$3,999 ",YZ 65,  2018 Yamaha Dirt Bike,2018 Yamaha YZ65. Very good condition. Ready to ride. No mechanical issues. Runs great!!
"5,125 miles","$16,500 ",STAR VENTURE XV1900FD,  2018 Yamaha Touring,"Yamaha Venture XV1900 TC touring bike, fully loaded wth GPS, Sirius XM, CB, AM/FM and either factory onboard intercom or an after market J&M Bluetooth intercom. Hwy pegs, grip pads and an extended back rest have been added for comfort. The grips and seats as well as seat backs are heated. The bike has never been dropped or had an accident, always garaged and in pristine condition. It has exceptionally low miles at 5125."
"12,000 miles","$17,200 ",YZF R1,  2018 Yamaha Sportbike,"Selling my R1 to invest into another hobby. I've rode less than 100 miles this season. In January, I did the routine oil change, coolant flush, and also installed brand new Rossi Corsa tires. Whil I did that I also installed a new Vortex 520 sprocket and chain. Valves were also adjusted in October of last year and have less than 500 miles on those. Aftermarket parts include:-Carbon fiber body work from RPM-CRG racing levers -Zero Gravity windscreen -sprint air filter-Graves block off plates-Tuned by XPlane R1 Custom Tuning (pump gas)-Fender delete with integrated tailight-Akrapovic full titanium exhaust system I also have all the stock parts to go with the bike along with a brand new Dunlop Q3+ front tire. NO TRADES. Slightly negotiable especially if you pick up locally. I will drive halfway if needed though. You can message me at five seven four 528 zero eight three nine my name is Nick. Sorry for the lack of pictures, please message me and I will take any picture or video needed."
"4,400 miles","$6,000 ",BOLT R-SPEC,  2014 Yamaha Cruiser,"This has been my baby for a few years but its time to part ways. I made several improvements to it, but still have the OEM parts. Its got low miles and haas never been damaged or laid down, nothing.It is a belt drive and the belt is excellent shape.Dean Speed Exhaust to give it better soundDean Speed Sissy bar to take kids on short rides with meSkid posts (front only)Dean Speed hanger bars (short ones)K and N air intake, works great and leg can easily rest against it (doesn't stick out)Reprogrammed computer for the exahustGators for the forksIts a really fun rider. Looks like a soft ail w/o the price and sounds good too.The bad: The registration expired in 2019, and was last registered in NV. There should be no issue getting it registered again though."
"18,202 miles","$5,999 ",V Star® 950 Tourer,  2014 Yamaha Touring,"2014 Yamaha V Star® 950 Tourer, 2014 Yamaha® V Star® 950 Tourer"
"42,184 miles","$7,488 ",Royal Star Venture S,  2013 Yamaha Touring,"2013 Yamaha Royal Star Venture S,"
"30,000 miles","$8,500 ",FJ1300,  2013 Yamaha Sport Touring,"2013 Yamaha FJR 1300. 30,000 miles. Adult owned. Brand new battery, runs perfect! Custom adjustable foot pegs, passenger sport boards, hand warmers, Custom comfort seat, Bar risers. Always maintained. Come see, you won't be disappointed!"
"2,175 miles","$9,000 ",RS,  2009 Yamaha Sportbike,"This Bike is super clean and looks and performs like new. It has a AKRAPAVIC twin exhaust added. I'm selling it because i Just dont have time to ride anymore, I work from home. (Because the bike is in such great condition and I dont need to sell it. I'm firm on the price. No haggaling or offers less that 9K pls)"
"13,034 miles","$4,000 ",V STAR 650 CLASSIC,  2009 Yamaha Cruiser,"2009 650 Classic Clean title, no accidents or tips Is missing one highway peg tip, I think one of my roomates bumped it when it was stored. Serviced at Simply ride in 2022, kept on a battery tender all winter gas was stabilized and it fires right up and is ready to ride!"
"10,300 miles","$4,000 ",V Star 1300 TOURER,  2009 Yamaha Cruiser,"I will be out of town until May 7th. And will return messages as that time. Thank you Highway bars, highway pegs, usb outlet, cruise control, speakers, saddle bags extra bagNew tires"
"49,300 miles","$4,700 ",Fjr 1300 A,  2007 Yamaha Sport Touring,2007 Yamaha FJR1300! A tremendous motorcycle! Hella fast Yamaha motor with tons of life left! Enjoy riding this bike year-round with the electrically controlled windscreen and adjustable heat deflectors. Has been well-maintained and needs a new home to make room for a new car in the garage. Contact me for additional information or to have your questions answered.You will absolutely enjoy this bike for a fraction of the cost of a new one!
"16,000 miles","$4,500 ",1100,  2007 Yamaha Cruiser,Original Owner/ Female Ridden only! Great Condition/ Super Low Miles/ Always Garaged . $3500 in extras. ??Custom Long ShotPipes??Mustang Seat & Passenger with Back Rest??New Throttle/ Breaks & Tires. ??Saddle Bags??Windshield??Dual Head Lamps Recent oil change and tune upThis bike is known to be highly reliable. No burn from pipes like Harleys. Handles Beautiful!
"4,701 miles","$10,500 ",YZF R1 50TH ANNIVERSARY,  2006 Yamaha Sportbike,"ORIGINAL 1-OWNER - Here we have a Showroom Condition FLAWLESS YZF-R1 50th Anniversary Edition. The bike has no scratches, dings, or dents, never been dropped. Kept in garage most of life, regularly serviced.Just needs new tires and fluid changes. I could change fluids at the right price. This is a RARE FIND, very low mileage, and well kept. The bike is fully stock except for Greg's Customs Front turn signals, and a CompetitionWerks Fender Eliminator. The wire harness is plugged in just like the factory specs.Both Keys, Owner's Manual, and Toolkit is also included."
"6,248 miles","$6,000 ",ROAD STAR WARRIOR,  2002 Yamaha Cruiser,"For Sale2002 Yamaha Road Star Warrior XV1700 (1670 cc's) Indigo - Like new (Purchased new in 3/2003. Always garage kept)6,248 Original Miles (one owner)$6,000Mods: Yamaha Factory Triple Chrome wheels,Chrome rotors/hub, Chrome Rear Star belt pulley, Chrome Belt Guard, Yamaha Billet engine covers, Yamaha Billet Drive Pulley case, Yamaha Air Intake, Vance&Hines Big Shots Staggered Exhaust, DynoJet Power Commander Engine Tuner, Yamaha Upper Fairing, Yamaha Lower Cowl, Billet 7 inch Handlebar risers, Mustang Seat with pillion (original seat is available)Pictures taken 3/6/23."
"1,500 miles","$1,700 ",XS650,  1982 Yamaha Sportbike,1982 YamahaXS650 Special- Registration is Non Op- Great street tracker project started- Many boxes of parts with 2 engines- Running at last ride!
,"$4,799 ",MT-03,New 2023 Yamaha Sportbike,
1 miles,"$8,899 ",XSR700,New 2023 Yamaha Sportbike,
400 miles,"$11,000 ",TENERE 700,  2022 Yamaha Dual Sport,Low mileage like new. I'm the original owner. Please feel free to contact me with questions.
,"$6,799 ",Bolt R-Spec,New 2022 Yamaha Cruiser,"2022 Yamaha Bolt R-Spec, 2022 Yamaha Bolt R-Spec"
"9,075 miles","$13,900 ",FJR1300ES 1300 ES,  2021 Yamaha Touring,"2021 Yamaha FJR1300ES, 2021 Yamaha FJR1300ES"
"2,500 miles","$11,499 ",YZF R6,  2020 Yamaha Sportbike,Selling my Yamaha 2020 YZF-R6 since I won't be needing it anymore. This balanced bike is excellent for those who enjoy riding aggressively while enjoying a smooth site seeing adventure. It has not been involved in any accidents. There are no visible wear and tear on any part of the bike. This bike has been paid in full and has a title under my name. Below is the list of modifications I've installed: JL Designs Version 2 TS-Series (Turn Signals)Competition Werkes Yamaha YZF-R6 17-20 Integrated TaillightTST Elite-1 Fender Eliminator for Yamaha YZF-R6 2017-2020 TST LED Low-Profile Universal Fit License Plate Light Translogic Durashift Quickshifter (Upshift Only)2009-2020 Genuine Yamaha YZF-R6 Yoshimura Y-Series Slip-On Muffler* Yamaha Slim Design Frame Sliders R6 2017-2020*NOT SEEN IN PICTURE
30 miles,"$3,995 ",YZ 85,  2020 Yamaha Dirt Bike,"This is a 2020 YZ 85, that was transformed intoa Big Wheel Supermini. Bike was raced only acouple of times before the rider grew out of itIts perfect for the 85 rider who likes yamahaand wants to move to the next lelvel. The SwingArm was professionally extended to accept thenew 16 inch Rear tire, the front was updated toa 19"" wheel as well. The wheels are both Excelwheels. The Motor was sent to MilleniumTechnologies where is was rebuilt, bored,plated and ported to achieve a very reliable103.5cc displacement. The bike has thefollowing add ons:Fmf Pipe and mufflerV3 Force ReedsTwin Air intake filterHole Shot DeviceAll new Plastics and Graphics.New GripsTotal investment $8000.+ extra new parts.New Parts:7 16 /19 InnertubesSprocketChainCountershaftWossner 103.5 cc PistonPiston BearingComplete CrankComplete Gasket Kits top and bottomBrakes front and backCarb rebuild kitClutch CableWheel BearingsSet of Stock Rims, blue yamaha 14-17 withstock spokes.Also Included:Extra set of ReedsSeveral sets up   plasticsExtra stock 85cc cylinderExtra stock exhaust pipe with silencer"
"13,228 miles","$7,999 ",MT-07,  2019 Yamaha Sportbike,A light weight and torque inspired twin cylinder at a great value inviting you to experience the thrills of the dark side.
"3,000 miles","$13,500 ",YZF R6,  2019 Yamaha Sportbike,"This is a stunning R6, pearl white debadged. Factory quick shifter. Full exhaust which sounds amazing. Flashed ecu. Carbon fiber fenders, carbon fiber tail wings, carbon fiber dash panels. The bike has been lowered 2in and sports a 190 rear tire. New sprockets and chain just put on, -1 in the front +2 in the rear from stock. Disclaimer all fairings where replaced due to someone side swiping left side. No mechanical damage all cosmetic. Yamaha dealer fixed all damages. This bike is a little under 3000 miles."
"16,118 miles","$18,999 ",STAR ELUDER,  2018 Yamaha Touring,"2018 YAMAHA STAR ELUDER,"
"1,904 miles","$5,999 ",XMAX,  2018 Yamaha Scooter,"2018 Yamaha XMAX, 2018 Yamaha Xmax low miles SUPER CLEAN SCOOTER LOW MILES AND FINANCING AVAILABLE APPLY NOW WORKING BY APPOINTMENT ONLY"
,"$15,570 ",STAR ELUDER BASE,  2018 Yamaha Touring,Am asking LESS than the recommended selling price as per cycletrader. This is priced to sell. This has the GT package. Bike is in excellent condition. Stored in a garage. Has had regular services. Valves have been adjusted. Sale includes soft bag inserts for hard bags AND YAMAHA EXTENDED SERVICE COVERAGE through 8/16/2024. Your Star Eluder has active Y.E.S coverage through: 8/16/20244 year service plan  8/16/2024
"3,200 miles","$15,000 ",FZR1000,  2016 Yamaha Super Moto,"2016 R-1 low miles, almost new. No time to ride, so she just sits. Graves Slip -on. Needs tires. Contact: Chris (626) 407-5086"
"4,450 miles","$10,000 ",TMAX 500,  2016 Yamaha Scooter,"RARE Yamaha Tmax 530 - 20164450 MilesGREAT CONDITION!The best scooter in the world!Low Mileage,Always slept in a garage,Akrapovic Exhaust (sold with OEM exhaust as well),LED HeadlightBlack Windscreen (Clear touring windscreen available as well),Backrest for the passenger,Large trunk + Yamaha OEM Bag includedSelling the bike cause I bought a new one"
,"$5,000 ",YZF,  2016 Yamaha Dirt Bike,2016 Yamaha YZ250F 60th anniversary. One owner only driven on family farm. Very low hours excellent condition.
"10,732 miles","$13,999 ",YZF-R1S,  2016 Yamaha Sportbike,"2016 Yamaha YZF-R1S, 2016 Yamaha YZF-R1"
"25,375 miles","$6,999 ",ROAD STAR S,  2014 Yamaha Touring,"2014 YAMAHA ROAD STAR S,"
"4,000 miles","$11,000 ",Raider SCL,  2014 Yamaha Cruiser,"I am selling my 2014 Yamaha Raider Star Custom Line #240.  This bike has very low miles around 4,000 miles on it.  It is a great bike 1854CC.  The bike has always been kept in storage.  I have some luggage that goes with it too.  This is a great bike and don’t really want to sell it but necessity takes precedent.    There is a small dent on top of the gas tank I was not aware of, I don’t know what happened I don’t have an explanation.  Thanks for looking."
"16,000 miles","$5,500 ",FZR600,  2013 Yamaha Sport Touring,2013 FZ6R RDL/C 600cc Sport Tour Bike. Team Yamaha Trim. One owner and always garaged. No accidents or even dropped. Flush after market turn blinkers in front. Has battery tender cable installed under seat for easy charge. Will throw in the battery tender as well with the bike. Original tool bag under seat too. Last service was 16k maintenance March 2023. Maintenance paperwork in hand. $5500 firm. Clean title. In person transaction and cash only. Thanks for looking!
"8,558 miles","$3,899 ",V STAR 650 CUSTOM,  2013 Yamaha Cruiser,2nd owner. Clean bike. Inspected.No leaks. Always covered and or sheltered.Great bike around town.Tires are newer and have approx 1500 miles on them.Reason for selling. Got a bigger bike.No joy rides.Title in hand.Price is firm.
"22,788 miles","$2,995 ",V Star 1100 XVS1100,  2004 Yamaha Cruiser,"2004 Yamaha V Star 1100 XVS1100, VIDEO https://youtu.be/08jlFb8hG4I . Fresh oil and filter, good tires. Blue Ridge Riders.com"
100 miles,"$5,400 ",450,  2003 Yamaha Dirt Bike,"100% FULLY RESTORED.AL NEW WHEELS ,HUBS ,SPOKES BEARINGS,SPROCKETS, CHAIN,BRAKE DISCS,BRAKE PADS.ALL CHASSIS COMPONENTS POWDER COATED,NEW RADIATORS,PLASTICS,GRAPHICS,SEAT,HANDLEBARS,CABELS ASV LEVERS,ETC.FULLY RESTORED ENGINE(NEW CLUTCH,BOTTOM AND TOP END,PISTON,PISTON RINGS,VALVES ETC.NEW DRD FULL EXHAUST SYSTEM.FULLY RESTORED SUSPENSION ,FORKS AND SCHOCK,NEW TIRES.TOO MUCH TO LIST,MUST SEE!!!SERIOUS BUYERS ONLY!NO TRADES!"
