mileage,price,bike,Types ,description
1 miles,"$5,999 ",Int650 Canyon Red,New 2022 Royal Enfield Standard,"2022 Royal Enfield Int650 Canyon Red, COASTAL INDIAN MOTORCYCLE OF MYRTLE BEACH 3956 HWY 17 SOUTH BYPASS MURRELLS INLET SC 29576 TEXT OR CALL 843-651-9799 WWW.COASTALINDIAN.COM HOME OF NO DEALER ADDED FREIGHT AND SET-UP FEE'S!! NO DEALER MARKET ADJUSTMENT TEXT OR CALL TODAY 843-651-9799   COASTAL INDIAN MOTORCYCLE OF MYRTLE BEACH3956 HWY 17 SOUTH BYPASSMURRELLS INLET SC 29576TEXT OR CALL 843-651-9799WWW.COASTALINDIAN.COMhttps://www.instagram.com/coastal_indian_motorcycle/HOME OF NO DEALER ADDED FREIGHT AND SET-UP FEE'S!!$0.00 DEALER ADDED FREIGHT FEE'S$0.00 DEALER ADDED SET-UP FEE'S$0.00 DEALER ADDED MARKET ADJUSTMENTCOASTAL INDIAN MOTORCYCLE OF MYRTLE BEACH 3956 HWY 17 SOUTH BYPASS MURRELLS INLET SC 29576 TEXT OR CALL 843-651-9799 WWW.COASTALINDIAN.COM @ THE APP. STORE COASTAL INDIAN MOTORCYCLE HOME OF NO DEALER ADDED FREIGHT AND SET-UP FEE'S!! NO DEALER MARKET ADJUSTMENT TEXT OR CALL TODAY 843-651-9799 2022 Royal Enfield Int650 Canyon Red"
,"$5,899 ",Continental GT Rocker Red,New 2022 Royal Enfield Standard,"2022 Royal Enfield Continental GT Rocker Red, Price includes freight and setup!  2022 Royal Enfield Continental GT Rocked Red"
"2,630 miles","$5,495 ",Int650 Baker Express,Used 2021 Royal Enfield Standard,"2021 Royal Enfield Int650 Baker Express, 2021 Royal Enfield Meteor 350 Fireball Red"
6 miles,"$6,349 ",Continental GT 650,New 2023 Royal Enfield Cruiser,
,"$4,799 ",Meteor 350,New 2023 Royal Enfield Cruiser,
5 miles,"$4,699 ",Meteor 350,New 2023 Royal Enfield Cruiser,
,"$4,899 ",Meteor 350,New 2023 Royal Enfield Cruiser,
3 miles,"$4,899 ",Meteor 350,New 2023 Royal Enfield Cruiser,
3 miles,"$4,899 ",Meteor 350,New 2023 Royal Enfield Cruiser,
3 miles,"$5,449 ",Himalayan,New 2023 Royal Enfield Standard,
,"$4,899 ",Meteor 350,New 2023 Royal Enfield Cruiser,
5 miles,"$6,349 ",Continental GT 650,New 2023 Royal Enfield Cruiser,
,"$6,649 ",Continental GT 650,New 2023 Royal Enfield Cruiser,
,"$6,349 ",Continental GT 650,New 2023 Royal Enfield Cruiser,
,"$7,149 ",Continental GT 650,New 2023 Royal Enfield Cruiser,
3 miles,"$6,349 ",Continental GT 650,New 2023 Royal Enfield Cruiser,
1 miles,"$6,349 ",Continental GT 650,New 2023 Royal Enfield Cruiser,
5 miles,"$6,349 ",Continental GT 650,New 2023 Royal Enfield Cruiser,
3 miles,"$6,349 ",Continental GT 650,New 2023 Royal Enfield Cruiser,
1 miles,"$6,649 ",Continental GT 650,New 2023 Royal Enfield Cruiser,
,"$6,649 ",Continental GT 650,New 2023 Royal Enfield Cruiser,
3 miles,"$6,349 ",Continental GT 650,New 2023 Royal Enfield Cruiser,
3 miles,"$6,349 ",Continental GT 650,New 2023 Royal Enfield Cruiser,
,"$6,649 ",Continental GT 650,New 2023 Royal Enfield Cruiser,
,"$6,349 ",Continental GT 650,New 2023 Royal Enfield Cruiser,
1 miles,"$6,349 ",Continental GT 650,New 2023 Royal Enfield Cruiser,
10 miles,"$7,149 ",Continental GT 650,New 2023 Royal Enfield Cruiser,
5 miles,"$6,349 ",Continental GT 650,New 2023 Royal Enfield Cruiser,
,"$4,599 ",Classic 350,New 2023 Royal Enfield Cruiser,
,"$6,349 ",Continental GT 650,New 2023 Royal Enfield Cruiser,
,"$6,349 ",Continental GT 650,New 2023 Royal Enfield Cruiser,
,"$6,349 ",Continental GT 650,New 2023 Royal Enfield Cruiser,
5 miles,"$6,349 ",Continental GT 650,New 2023 Royal Enfield Cruiser,
,"$7,199 ",Continental GT 650,New 2023 Royal Enfield Cruiser,
250 miles,"$6,349 ",Continental GT 650,New 2023 Royal Enfield Cruiser,
3 miles,"$6,349 ",Continental GT 650,New 2023 Royal Enfield Cruiser,
,"$6,899 ",Continental GT 650,New 2023 Royal Enfield Cruiser,
5 miles,"$4,799 ",CLASSIC 350,New 2023 Royal Enfield Standard,"2023 Royal Enfield CLASSIC 350, The All-New Classic 350 continues to embody the traditions and craftsmanship of the past as it is reborn. Inspired by the post war G2 model, first born in 1950’s, the all new Classic 350 continues to be a testament to the timeless design which took the motorcycling world with an awe back in the heydays of British motorcycling. The Classic teardrop fuel tank, the distinctive thump and the hallmark casquette headlamp - all harmonise as one, rejoicing in the masterpiece that is the timeless Royal Enfield Classic.*Price shown is based on the manufacturer's suggested retail price (MSRP) and is subject to change. MSRP excludes destination charges, optional accessories, applicable taxes, installation, setup and / or other dealer cost.*   Features"
,"$5,449 ",Himalayan Rock Red,New 2023 Royal Enfield Standard,"2023 Royal Enfield Himalayan Rock Red, Call us today to set up an appointment for a demo ride and ask about our finance options! 321-926-1050   2023 Royal Enfield Himalayan Rock Red"
8 miles,"$5,550 ",Himalayan Granite Black,New 2023 Royal Enfield Standard,"2023 Royal Enfield Himalayan Granite Black, 2023 Royal Enfield Himalayan Granite Black"
,"$5,449 ",Himalayan Gravel Grey,New 2023 Royal Enfield Dual Sport,"2023 Royal Enfield Himalayan Gravel Grey, 2023 Royal Enfield Himalayan Gravel Grey"
,"$5,099 ",Scram 411 Graphite Yellow,New 2023 Royal Enfield Standard,"2023 Royal Enfield Scram 411 Graphite Yellow, 2023 Royal Enfield Scram 411 Graphite Yellow"
,"$5,099 ",Scram 411 Graphite Yellow,New 2023 Royal Enfield Standard,"2023 Royal Enfield Scram 411 Graphite Yellow, The ALL-NEW Scram 411's are finally here! Call or stop in and see what all the hype's about! We have a ton of color options! *Price listed is MSRP and does not include freight, assembly, or doc fee. Call for more details.  2023 Royal Enfield Scram 411 Graphite Yellow"
,"$5,099 ",Scram 411 White Flame,New 2023 Royal Enfield Standard,"2023 Royal Enfield Scram 411 White Flame, 2023 Royal Enfield Scram 411 White Flame"
,"$6,149 ",INT650 Ventura Blue,New 2023 Royal Enfield Standard,"2023 Royal Enfield INT650 Ventura Blue, 2023 Royal Enfield INT650 Ventura Blue"
3 miles,"$5,449 ",Himalayan Gravel Grey,New 2023 Royal Enfield Standard,"2023 Royal Enfield Himalayan Gravel Grey, 2023 Royal Enfield Himalayan Lake Blue"
8 miles,"$5,550 ",Himalayan Gravel Grey,New 2023 Royal Enfield Standard,"2023 Royal Enfield Himalayan Gravel Grey, 2023 Royal Enfield Himalayan Gravel Grey"
,"$4,799 ",Classic 350 Chrome Bronze,New 2023 Royal Enfield Standard,"2023 Royal Enfield Classic 350 Chrome Bronze, Call us today to set up an appointment for a demo ride and ask about our finance options! 321-926-1050   2023 Royal Enfield Classic 350 Chrome Bronze"
,"$4,799 ",Meteor 350 Stellar Red,New 2023 Royal Enfield Standard,"2023 Royal Enfield Meteor 350 Stellar Red, 2023 Royal Enfield Meteor 350 Stellar Red"
3 miles,"$4,799 ",Classic 350 Chrome Red,New 2023 Royal Enfield Standard,"2023 Royal Enfield Classic 350 Chrome Red, 2023 Royal Enfield Classic 350 Chrome Red"
,"$5,449 ",Himalayan Lake Blue,New 2023 Royal Enfield Dual Sport,"2023 Royal Enfield Himalayan Lake Blue, 2023 Royal Enfield Himalayan Lake Blue"
1 miles,"$5,099 ",Scram 411 Graphite Blue,New 2023 Royal Enfield Standard,"2023 Royal Enfield Scram 411 Graphite Blue, COASTAL INDIAN MOTORCYCLE OF MYRTLE BEACH 3956 HWY 17 SOUTH BYPASS MURRELLS INLET SC 29576 TEXT OR CALL 843-651-9799 WWW.COASTALINDIAN.COM HOME OF NO DEALER ADDED FREIGHT AND SET-UP FEE'S!! NO DEALER MARKET ADJUSTMENT TEXT OR CALL TODAY 843-651-9799   COASTAL INDIAN MOTORCYCLE OF MYRTLE BEACH3956 HWY 17 SOUTH BYPASSMURRELLS INLET SC 29576TEXT OR CALL 843-651-9799WWW.COASTALINDIAN.COMhttps://www.instagram.com/coastal_indian_motorcycle/HOME OF NO DEALER ADDED FREIGHT AND SET-UP FEE'S!!$0.00 DEALER ADDED FREIGHT FEE'S$0.00 DEALER ADDED SET-UP FEE'S$0.00 DEALER ADDED MARKET ADJUSTMENTCOASTAL INDIAN MOTORCYCLE OF MYRTLE BEACH 3956 HWY 17 SOUTH BYPASS MURRELLS INLET SC 29576 TEXT OR CALL 843-651-9799 WWW.COASTALINDIAN.COM @ THE APP. STORE COASTAL INDIAN MOTORCYCLE HOME OF NO DEALER ADDED FREIGHT AND SET-UP FEE'S!! NO DEALER MARKET ADJUSTMENT TEXT OR CALL TODAY 843-651-9799 2023 Royal Enfield Scram 411 Graphite Blue"
2 miles,"$4,799 ",Meteor 350 Supernova Blue,New 2023 Royal Enfield Standard,"2023 Royal Enfield Meteor 350 Supernova Blue, 2023 Royal Enfield Meteor Stellar Black"
,"$6,199 ",Continental GT Rocker Red,New 2022 Royal Enfield Standard,
,"$6,499 ",Continental GT 650 Twin,New 2022 Royal Enfield Standard,"2022 Royal Enfield Continental GT 650 Twin,"
,"$4,499 ",Classic 350,New 2022 Royal Enfield Standard,"2022 Royal Enfield Classic 350,"
,"$6,499 ",Continental GT 650 Twin,New 2022 Royal Enfield Standard,"2022 Royal Enfield Continental GT 650 Twin,"
,"$5,299 ",Himalayan,New 2022 Royal Enfield Standard,"2022 Royal Enfield Himalayan,"
,"$5,699 ",Int650 Ventura Blue,New 2022 Royal Enfield Standard,"2022 Royal Enfield Int650 Ventura Blue, Price includes freight and setup!  2022 Royal Enfield Int650 Ventura Blue"
1 miles,"$6,699 ",Int650 Mark 2,New 2022 Royal Enfield Standard,"2022 Royal Enfield Int650 Mark 2, 2022 Royal Enfield Int650 Mark 2"
8 miles,"$4,799 ",Himalayan Pine Green,New 2022 Royal Enfield Dual Sport,"2022 Royal Enfield Himalayan Pine Green, 2022 Royal Enfield Himalayan Pine Green"
1 miles,"$6,499 ",Continental GT Ventura Storm,New 2022 Royal Enfield Standard,"2022 Royal Enfield Continental GT Ventura Storm, COASTAL INDIAN MOTORCYCLE OF MYRTLE BEACH 3956 HWY 17 SOUTH BYPASS MURRELLS INLET SC 29576 TEXT OR CALL 843-651-9799 WWW.COASTALINDIAN.COM HOME OF NO DEALER ADDED FREIGHT AND SET-UP FEE'S!! NO DEALER MARKET ADJUSTMENT TEXT OR CALL TODAY 843-651-9799   COASTAL INDIAN MOTORCYCLE OF MYRTLE BEACH3956 HWY 17 SOUTH BYPASSMURRELLS INLET SC 29576TEXT OR CALL 843-651-9799WWW.COASTALINDIAN.COMhttps://www.instagram.com/coastal_indian_motorcycle/HOME OF NO DEALER ADDED FREIGHT AND SET-UP FEE'S!!$0.00 DEALER ADDED FREIGHT FEE'S$0.00 DEALER ADDED SET-UP FEE'S$0.00 DEALER ADDED MARKET ADJUSTMENTCOASTAL INDIAN MOTORCYCLE OF MYRTLE BEACH 3956 HWY 17 SOUTH BYPASS MURRELLS INLET SC 29576 TEXT OR CALL 843-651-9799 WWW.COASTALINDIAN.COM @ THE APP. STORE COASTAL INDIAN MOTORCYCLE HOME OF NO DEALER ADDED FREIGHT AND SET-UP FEE'S!! NO DEALER MARKET ADJUSTMENT TEXT OR CALL TODAY 843-651-9799 2022 Royal Enfield Continental GT Ventura Storm"
8 miles,"$4,299 ",Himalayan Pine Green,New 2022 Royal Enfield Dual Sport,"2022 Royal Enfield Himalayan Pine Green, 2022 Royal Enfield Himalayan Pine Green"
,"$4,499 ",Classic 350 Halcyon Green,New 2022 Royal Enfield Standard,"2022 Royal Enfield Classic 350 Halcyon Green, In stock, and ready to rock! Unbeatable prices on these awesome bikes, that are perfect for beginners, professionals, and anyone in between. Stop in and check out our inventory today! *Price listed is MSRP and does not include freight, assembly. or doc fee. Call for more details.  2022 Royal Enfield Classic 350 Halcyon Green"
1 miles,"$4,699 ",Classic 350 Chrome Red,New 2022 Royal Enfield Standard,"2022 Royal Enfield Classic 350 Chrome Red, COASTAL INDIAN MOTORCYCLE OF MYRTLE BEACH 3956 HWY 17 SOUTH BYPASS MURRELLS INLET SC 29576 TEXT OR CALL 843-651-9799 WWW.COASTALINDIAN.COM HOME OF NO DEALER ADDED FREIGHT AND SET-UP FEE'S!! NO DEALER MARKET ADJUSTMENT TEXT OR CALL TODAY 843-651-9799   COASTAL INDIAN MOTORCYCLE OF MYRTLE BEACH3956 HWY 17 SOUTH BYPASSMURRELLS INLET SC 29576TEXT OR CALL 843-651-9799WWW.COASTALINDIAN.COMhttps://www.instagram.com/coastal_indian_motorcycle/HOME OF NO DEALER ADDED FREIGHT AND SET-UP FEE'S!!$0.00 DEALER ADDED FREIGHT FEE'S$0.00 DEALER ADDED SET-UP FEE'S$0.00 DEALER ADDED MARKET ADJUSTMENTCOASTAL INDIAN MOTORCYCLE OF MYRTLE BEACH 3956 HWY 17 SOUTH BYPASS MURRELLS INLET SC 29576 TEXT OR CALL 843-651-9799 WWW.COASTALINDIAN.COM @ THE APP. STORE COASTAL INDIAN MOTORCYCLE HOME OF NO DEALER ADDED FREIGHT AND SET-UP FEE'S!! NO DEALER MARKET ADJUSTMENT TEXT OR CALL TODAY 843-651-9799 2022 Royal Enfield Classic 350 Chrome Red"
10 miles,"$4,499 ",CLASSIC 350 Reborn,New 2022 Royal Enfield Classic / Vintage,
"1,273 miles","$4,995 ",Continental GT 650,Used 2021 Royal Enfield Cruiser,"A modern Interpretation of a cultural icon, part of the original British cafe racing scene, an expression of free spirit and a declaration of style."
"3,120 miles","$4,899 ",METRO 350,Used 2021 Royal Enfield Standard,"2021 Royal Enfield METRO 350, IN EXCELLENT CONDITION, ONE OWNER, RUNS GREAT, NEVER BEEN DROPPED, CLEAN TITLE. FREE DELIEVERY WITH IN 50 MILEAS RADIUS 2021 Royal Enfield Meteor 350 Claimed Specifications MSRP: $4,399 $4,599 Engine: 349cc, SOHC, air/oil-cooled single Bore x Stroke: 72.0 x 85.8 mm Transmission/Final Drive: 5-speed/chain Fuel Delivery: Electronic fuel injection Clutch: Wet, multiplate Engine Management/Ignition: N/A Frame: Twin downtube spine Front Suspension: 41mm telescopic fork; 5.1 in. travel Rear Suspension: Twin tube emulsion shocks, preload adjustable; 3.5 in. travel Front Brake: 2-piston floating caliper, 300mm disc w/ ABS Rear Brake: 1-piston floating caliper, 270mm disc w/ ABS Wheels, Front/Rear: Alloy Tires, Front/Rear: 100/90-19 / 140/70-17 Rake/Trail: N/A Wheelbase: 55.1 in. Ground Clearance: 6.7 in. Seat Height: 30.1 in. Fuel Capacity: 4.0 gal. Wet Weight: 421 lb. Contact: royalenfield.com Cycle World Tested Specifications Seat Height: 29.7 in. Wet Weight: 418 lb. Rear-Wheel Horsepower: 17.4 hp @ 6,090 rpm Rear-Wheel Torque: 18.2 lb.-ft. @ 2,860 rpm"
"2,173 miles","$3,999 ",Himalayan Sleet Grey,Used 2021 Royal Enfield Standard,"2021 Royal Enfield Himalayan Sleet Grey, COASTAL IRON MOTORCYCLE OF MYRTLE BEACH 3956 HWY 17 SOUTH BYPASS MURRELLS INLET SC 29576 TEXT OR CALL 843-651-9799 WWW.COASTALIRON.COM HOME OF NO DEALER ADDED FREIGHT AND SET-UP FEE'S!! NO DEALER MARKET ADJUSTMENT TEXT OR CALL TODAY 843-651-9799   COASTAL IRON MOTORCYCLE OF MYRTLE BEACH3956 HWY 17 SOUTH BYPASSMURRELLS INLET SC 29576TEXT OR CALL 843-651-9799WWW.COASTALIRON.COMhttps://www.instagram.com/coastal_indian_motorcycle/HOME OF NO DEALER ADDED FREIGHT AND SET-UP FEE'S!!$0.00 DEALER ADDED FREIGHT FEE'S$0.00 DEALER ADDED SET-UP FEE'S$0.00 DEALER ADDED MARKET ADJUSTMENTCOASTAL IRON MOTORCYCLE OF MYRTLE BEACH 3956 HWY 17 SOUTH BYPASS MURRELLS INLET SC 29576 TEXT OR CALL 843-651-9799 WWW.COASTALIRON.COM @ THE APP. STORE COASTAL IRON MOTORCYCLE HOME OF NO DEALER ADDED FREIGHT AND SET-UP FEE'S!! NO DEALER MARKET ADJUSTMENT TEXT OR CALL TODAY 843-651-9799 2021 Royal Enfield Himalayan Sleet Grey"
